# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	27286	28992	-	BOFHPH_00032	867.0	1.7e-314	0.972	0.929	0.732	UniRef:UniRef50_A0A965YEV9
contig_1	cds	29088	30731	-	BOFHPH_00033	678.0	1.5e-239	1.004	0.834	0.616	UniRef:UniRef50_Q9EZ02
contig_1	cds	30935	33754	-	BOFHPH_00034	987.0	0.0	1.039	1.006	0.531	UniRef:UniRef50_Q8A3D9
contig_1	cds	33937	34833	-	BOFHPH_00035	339.0	2.2e-115	1.020	0.997	0.599	UniRef:UniRef50_I8VBA0
contig_1	cds	34855	36765	-	BOFHPH_00036	718.0	7.0e-254	1.057	1.021	0.563	UniRef:UniRef50_U6RB40
contig_1	cds	36775	40152	-	BOFHPH_00037	1441.0	0.0	1.005	0.983	0.625	UniRef:UniRef50_G1WDP7
contig_1	cds	40190	40942	-	BOFHPH_00038	-	-	-	-	-	-
contig_1	cds	41130	41399	+	BOFHPH_00039	119.0	5.0e-35	0.888	0.929	0.772	UniRef:UniRef50_I9VNK0
contig_1	cds	41560	42108	+	BOFHPH_00040	-	-	-	-	-	-
contig_1	cds	42126	43502	-	BOFHPH_00041	534.0	1.1e-186	0.985	0.922	0.608	UniRef:UniRef50_A0A1Q6HGU9
contig_1	cds	43506	46652	-	BOFHPH_00042	1592.0	0.0	0.983	0.993	0.818	UniRef:UniRef50_A0A495VQA5
contig_1	cds	46744	47934	-	BOFHPH_00043	421.0	3.7e-144	0.919	0.873	0.624	UniRef:UniRef50_A0A3B9UBN3
contig_1	cds	48257	50467	+	BOFHPH_00044	1090.0	0.0	1.001	1.0	0.726	UniRef:UniRef50_I9S9B6
contig_1	cds	50322	50615	-	BOFHPH_00045	-	-	-	-	-	-
contig_1	cds	50721	50990	+	BOFHPH_00046	105.0	2.7e-29	1.0	0.957	0.539	UniRef:UniRef50_F3PPT5
contig_1	cds	50993	51550	+	BOFHPH_00047	266.0	3.4e-90	1.005	0.964	0.672	UniRef:UniRef50_E5C8G5
contig_1	cds	51554	52324	+	BOFHPH_00048	353.0	4.9e-122	0.996	0.901	0.675	UniRef:UniRef50_A0A380YNL4
contig_1	cds	52462	53628	+	BOFHPH_00049	684.0	5.2e-248	0.997	0.874	0.863	UniRef:UniRef50_A0A120A3M7
contig_1	cds	53881	55872	+	BOFHPH_00050	1236.0	0.0	1.032	1.0	0.890	UniRef:UniRef50_Q8AB53
contig_1	cds	55963	56685	+	BOFHPH_00051	431.0	2.9e-153	1.0	0.923	0.875	UniRef:UniRef50_A0A0K6BVS3
contig_1	cds	56787	59696	+	BOFHPH_00052	1357.0	0.0	1.033	1.0	0.671	UniRef:UniRef50_A0A120A3S7
contig_1	cds	60010	60411	+	BOFHPH_00053	238.0	1.5e-80	1.0	0.924	0.827	UniRef:UniRef50_I9BC95
contig_1	cds	60389	60514	-	BOFHPH_00054	-	-	-	-	-	-
contig_1	cds	60578	60898	+	BOFHPH_00055	129.0	1.7e-38	0.858	0.805	0.714	UniRef:UniRef50_H1Q102
contig_1	cds	60895	61110	+	BOFHPH_00056	137.0	1.7e-42	0.986	0.805	0.943	UniRef:UniRef50_Q8AB56
contig_1	cds	61107	61451	+	BOFHPH_00057	157.0	2.8e-49	0.947	0.939	0.676	UniRef:UniRef50_A0A9D9YK42
contig_1	cds	61456	61932	+	BOFHPH_00058	174.0	2.4e-54	0.987	0.867	0.519	UniRef:UniRef50_Q8AAX5
contig_1	cds	61958	63811	+	BOFHPH_00059	936.0	0.0	1.002	0.824	0.730	UniRef:UniRef50_Q7MVU9
contig_1	cds	63917	67294	-	BOFHPH_00060	1985.0	0.0	1.005	0.961	0.880	UniRef:UniRef50_A0A6N2U7Z3
contig_1	cds	67487	68233	+	BOFHPH_00061	343.0	8.2e-118	0.968	0.828	0.704	UniRef:UniRef50_A0A0X8X1W6
contig_1	cds	68242	69621	+	BOFHPH_00062	565.0	9.5e-200	1.0	1.027	0.610	UniRef:UniRef50_E7RRD0
contig_1	cds	69883	70839	+	BOFHPH_00063	518.0	2.0e-185	0.921	0.893	0.850	UniRef:UniRef50_I9HRP5
contig_1	cds	70895	71815	+	BOFHPH_00064	570.0	3.0e-206	1.0	1.0	0.918	UniRef:UniRef50_I9VNI6
contig_1	cds	71905	72795	-	BOFHPH_00065	526.0	2.3e-189	1.0	0.970	0.868	UniRef:UniRef50_A0A0I9UJC6
contig_1	cds	72844	73710	-	BOFHPH_00066	330.0	2.7e-112	1.003	1.0	0.554	UniRef:UniRef50_A0A413GTG6
contig_1	cds	73737	74873	-	BOFHPH_00067	751.0	1.4e-275	0.992	0.987	0.987	UniRef:UniRef50_A0A0I9S298
contig_1	cds	75165	75572	-	BOFHPH_00068	197.0	2.0e-64	0.978	0.874	0.674	UniRef:UniRef50_A0A069CY46
contig_1	cds	75758	76273	+	BOFHPH_00069	290.0	3.3e-100	1.0	1.0	1.0	UniRef:UniRef50_A0A174PZW8
contig_1	cds	76277	76861	+	BOFHPH_00070	343.0	3.4e-120	1.0	1.0	0.866	UniRef:UniRef50_F7LVR4
contig_1	cds	76971	78137	+	BOFHPH_00071	482.0	6.5e-168	1.049	0.904	0.568	UniRef:UniRef50_I8XN77
contig_1	cds	78134	79858	+	BOFHPH_00072	796.0	6.9e-287	0.997	0.997	0.734	UniRef:UniRef50_H1DEL4
contig_1	cds	79861	81627	+	BOFHPH_00073	654.0	5.1e-230	0.983	0.959	0.573	UniRef:UniRef50_F5IZZ5
contig_1	cds	82242	85205	-	BOFHPH_00074	-	-	-	-	-	-
contig_1	cds	85370	86602	-	BOFHPH_00075	544.0	4.3e-192	0.990	0.914	0.697	UniRef:UniRef50_Q8AB67
contig_1	cds	86691	87449	+	BOFHPH_00076	329.0	2.3e-112	0.976	0.837	0.614	UniRef:UniRef50_A0A125MGF9
contig_1	cds	87683	90886	-	BOFHPH_00077	1467.0	0.0	1.013	0.959	0.697	UniRef:UniRef50_K9EF16
contig_1	cds	90907	92400	-	BOFHPH_00078	717.0	1.0e-256	1.151	0.965	0.663	UniRef:UniRef50_K9E1J7
contig_1	cds	92403	95480	-	BOFHPH_00079	1409.0	0.0	1.021	0.996	0.718	UniRef:UniRef50_U6RHQ6
contig_1	cds	95507	96577	-	BOFHPH_00080	428.0	2.5e-148	1.031	0.981	0.610	UniRef:UniRef50_A0A2S9J049
contig_1	cds	96987	98678	-	BOFHPH_00081	567.0	4.7e-197	0.948	0.947	0.543	UniRef:UniRef50_A0A1Y4HS95
contig_1	cds	98675	99565	-	BOFHPH_00082	372.0	3.4e-128	0.953	0.898	0.603	UniRef:UniRef50_A0A3E4ULE1
contig_1	cds	99597	100625	-	BOFHPH_00083	618.0	3.1e-224	1.0	1.0	0.865	UniRef:UniRef50_I9BC71
contig_1	cds	101441	102601	-	BOFHPH_00084	760.0	6.6e-279	1.0	0.987	0.997	UniRef:UniRef50_A0A0E2ALM7
contig_1	cds	102657	103211	-	BOFHPH_00085	261.0	3.3e-88	0.978	0.923	0.728	UniRef:UniRef50_A0A0I9S5Q6
contig_1	cds	103208	104230	-	BOFHPH_00086	710.0	9.8e-261	1.0	1.0	1.0	UniRef:UniRef50_E1WSX9
contig_1	cds	104403	106376	-	BOFHPH_00087	1350.0	0.0	1.0	1.0	0.989	UniRef:UniRef50_E1WSY2
contig_1	cds	106506	107381	-	BOFHPH_00088	594.0	2.4e-216	1.0	1.0	1.0	UniRef:UniRef50_A0A0I9RZI8
contig_1	cds	107384	107764	-	BOFHPH_00089	-	-	-	-	-	-
contig_1	cds	107761	108888	-	BOFHPH_00090	756.0	1.0e-277	1.0	0.982	0.960	UniRef:UniRef50_F7LTM9
contig_1	cds	108978	109247	-	BOFHPH_00091	182.0	3.8e-60	1.0	1.0	1.0	UniRef:UniRef50_F7LTN0
contig_1	cds	109186	109341	-	BOFHPH_00092	-	-	-	-	-	-
contig_1	cds	109479	110540	-	BOFHPH_00093	440.0	3.6e-153	1.008	0.939	0.596	UniRef:UniRef50_A0A6I0SKE9
contig_1	cds	110550	110759	-	BOFHPH_00094	117.0	5.7e-35	0.986	0.986	0.882	UniRef:UniRef50_I9BBV8
contig_1	cds	110989	112086	+	BOFHPH_00095	495.0	8.1e-175	0.997	0.981	0.717	UniRef:UniRef50_I9KBM8
contig_1	cds	112354	113148	-	BOFHPH_00096	521.0	1.3e-188	1.0	1.0	0.996	UniRef:UniRef50_A0A0I9RZ50
contig_1	cds	113157	113549	-	BOFHPH_00097	245.0	1.5e-83	1.0	1.0	1.0	UniRef:UniRef50_I9VNP3
contig_1	cds	113546	113746	-	BOFHPH_00098	-	-	-	-	-	-
contig_1	cds	113715	115478	-	BOFHPH_00099	1033.0	0.0	1.0	0.997	0.911	UniRef:UniRef50_A0A413JWP1
contig_1	cds	115521	116249	-	BOFHPH_00100	296.0	7.3e-100	0.975	0.884	0.606	UniRef:UniRef50_W4UPW7
contig_1	cds	116489	117727	+	BOFHPH_00101	785.0	1.2e-286	0.998	0.846	0.854	UniRef:UniRef50_Q02550
contig_1	cds	117769	119934	+	BOFHPH_00102	791.0	2.7e-280	0.974	0.967	0.547	UniRef:UniRef50_A6L2J8
contig_1	cds	119934	122099	+	BOFHPH_00103	1165.0	0.0	0.996	0.973	0.787	UniRef:UniRef50_A0A948TC83
contig_1	cds	122206	122388	-	BOFHPH_00104	105.0	3.3e-30	1.0	1.0	0.767	UniRef:UniRef50_I8XQI7
contig_1	cds	122385	123509	-	BOFHPH_00105	392.0	1.5e-133	0.947	0.861	0.514	UniRef:UniRef50_A0A133Q227
contig_1	cds	123506	124312	-	BOFHPH_00106	328.0	2.0e-111	0.981	0.883	0.597	UniRef:UniRef50_F8WW73
contig_1	cds	124487	124798	+	BOFHPH_00107	127.0	1.1e-37	0.942	0.808	0.567	UniRef:UniRef50_A0A3L7Z9T0
contig_1	cds	124795	125262	+	BOFHPH_00108	228.0	1.0e-75	0.955	0.836	0.757	UniRef:UniRef50_A0A7X9GQA5
contig_1	cds	125329	125964	-	BOFHPH_00109	295.0	2.5e-100	1.005	0.922	0.698	UniRef:UniRef50_A6LI48
contig_1	cds	126098	126655	-	BOFHPH_00110	221.0	7.6e-72	0.989	0.867	0.590	UniRef:UniRef50_A0A239U495
contig_1	cds	126677	127096	-	BOFHPH_00111	184.0	9.0e-59	0.950	0.835	0.621	UniRef:UniRef50_I9BBU5
contig_1	cds	127266	127613	-	BOFHPH_00112	127.0	5.9e-37	1.035	0.869	0.513	UniRef:UniRef50_A0A2A4RBZ2
contig_1	cds	127797	129908	-	BOFHPH_00113	831.0	3.2e-295	1.003	0.904	0.573	UniRef:UniRef50_I0AI85
contig_1	cds	130019	131944	+	BOFHPH_00114	819.0	3.6e-292	1.006	0.874	0.633	UniRef:UniRef50_A0A374UUC4
contig_1	cds	132014	132550	+	BOFHPH_00115	199.0	9.4e-64	1.006	1.0	0.570	UniRef:UniRef50_I9VNF4
contig_1	cds	132654	135812	+	BOFHPH_00116	1349.0	0.0	1.011	0.984	0.610	UniRef:UniRef50_R6E7B2
contig_1	cds	135844	137316	+	BOFHPH_00117	561.0	6.8e-197	1.004	0.982	0.577	UniRef:UniRef50_I9KBL2
contig_1	cds	137341	138345	+	BOFHPH_00118	686.0	3.5e-251	1.0	1.0	1.0	UniRef:UniRef50_I9VNM4
contig_1	cds	138487	139611	-	BOFHPH_00119	595.0	1.4e-213	0.997	0.903	0.767	UniRef:UniRef50_Q8ABA7
contig_1	cds	139617	140654	-	BOFHPH_00120	368.0	8.8e-125	1.003	0.889	0.535	UniRef:UniRef50_A0A1M7MJF6
contig_1	cds	140651	141937	-	BOFHPH_00121	467.0	4.5e-161	0.988	0.883	0.570	UniRef:UniRef50_Q64RE7
contig_1	cds	141974	142825	-	BOFHPH_00122	372.0	4.2e-128	0.996	0.817	0.660	UniRef:UniRef50_B6YQ21
contig_1	cds	143072	143563	-	BOFHPH_00123	187.0	1.8e-59	0.914	0.842	0.544	UniRef:UniRef50_U6RFT4
contig_1	cds	143685	144392	+	BOFHPH_00124	417.0	1.8e-147	1.0	0.822	0.800	UniRef:UniRef50_A0A0P0GHQ9
contig_1	cds	144470	146479	-	BOFHPH_00125	819.0	5.2e-292	1.072	0.997	0.609	UniRef:UniRef50_I9F945
contig_1	cds	146578	146877	-	BOFHPH_00126	193.0	7.7e-64	1.0	0.839	0.980	UniRef:UniRef50_U6REW7
contig_1	cds	146979	147587	+	BOFHPH_00127	259.0	1.2e-86	0.970	0.938	0.643	UniRef:UniRef50_F9D0R0
contig_1	cds	147590	148981	+	BOFHPH_00128	736.0	1.2e-266	0.985	0.944	0.792	UniRef:UniRef50_R6YHK6
contig_1	cds	149035	150588	-	BOFHPH_00129	618.0	3.4e-218	1.006	0.985	0.604	UniRef:UniRef50_F7M5Z5
contig_1	cds	150585	150710	-	BOFHPH_00130	-	-	-	-	-	-
contig_1	cds	150865	151470	-	BOFHPH_00131	212.0	2.9e-68	0.920	0.930	0.578	UniRef:UniRef50_F8X0A6
contig_1	cds	151484	154234	-	BOFHPH_00132	1774.0	0.0	1.0	0.854	0.998	UniRef:UniRef50_A0A415RVX9
contig_1	cds	154254	154706	-	BOFHPH_00133	244.0	2.6e-82	0.993	0.823	0.826	UniRef:UniRef50_A6L3C0
contig_1	cds	154721	155293	-	BOFHPH_00134	256.0	3.9e-86	0.995	0.969	0.630	UniRef:UniRef50_Q8ABD2
contig_1	cds	155295	156098	-	BOFHPH_00135	497.0	1.0e-178	1.007	1.0	0.981	UniRef:UniRef50_I9VNA8
contig_1	cds	156181	156681	-	BOFHPH_00136	241.0	1.7e-80	1.006	0.823	0.725	UniRef:UniRef50_A0A1Y4DUR4
contig_1	cds	156931	157335	-	BOFHPH_00137	244.0	6.0e-83	0.993	0.985	0.835	UniRef:UniRef50_Q8ABD5
contig_1	cds	157576	158277	+	BOFHPH_00138	372.0	1.1e-130	1.0	1.013	0.785	UniRef:UniRef50_Q5DYF8
contig_1	cds	158298	159308	+	BOFHPH_00139	465.0	4.4e-163	0.973	0.849	0.731	UniRef:UniRef50_A0AAE3VI23
contig_1	cds	159635	160636	+	BOFHPH_00140	433.0	9.5e-151	1.0	0.876	0.577	UniRef:UniRef50_Q8ABI8
contig_1	cds	160800	162245	+	BOFHPH_00141	595.0	5.5e-210	0.994	0.941	0.586	UniRef:UniRef50_F8WZ44
contig_1	cds	162247	163191	+	BOFHPH_00142	321.0	1.7e-107	0.971	0.894	0.521	UniRef:UniRef50_F7LTW5
contig_1	cds	163201	163521	-	BOFHPH_00143	-	-	-	-	-	-
contig_1	cds	163692	164642	-	BOFHPH_00144	458.0	1.0e-160	1.206	0.997	0.648	UniRef:UniRef50_A0A174JAZ5
contig_1	cds	164646	165608	-	BOFHPH_00145	538.0	4.2e-192	1.234	1.0	0.716	UniRef:UniRef50_A0A0P0GJJ2
contig_1	cds	165605	166369	-	BOFHPH_00146	420.0	1.7e-148	1.0	0.917	0.807	UniRef:UniRef50_K5BV88
contig_1	cds	166373	167578	-	BOFHPH_00147	769.0	1.1e-281	1.0	0.955	0.930	UniRef:UniRef50_A0A1C0W8J0
contig_1	cds	167766	168761	-	BOFHPH_00148	360.0	3.4e-121	1.048	0.820	0.522	UniRef:UniRef50_A0A396BMI0
contig_1	cds	168944	170488	-	BOFHPH_00149	-	-	-	-	-	-
contig_1	cds	170501	171253	-	BOFHPH_00150	-	-	-	-	-	-
contig_1	cds	171489	172517	-	BOFHPH_00151	-	-	-	-	-	-
contig_1	cds	172514	173617	-	BOFHPH_00152	712.0	2.0e-260	1.0	1.0	1.0	UniRef:UniRef50_A0A9Q4JCK4
contig_1	cds	173604	174914	-	BOFHPH_00153	776.0	2.2e-283	1.0	1.0	1.0	UniRef:UniRef50_A0A413JWE9
contig_1	cds	174958	175953	-	BOFHPH_00154	372.0	3.8e-127	1.0	0.985	0.556	UniRef:UniRef50_R9IBN6
contig_1	cds	175943	176371	-	BOFHPH_00155	-	-	-	-	-	-
contig_1	cds	176376	177569	-	BOFHPH_00156	786.0	1.1e-288	1.0	1.0	1.0	UniRef:UniRef50_A0A2M9V2N9
contig_1	cds	177570	178502	-	BOFHPH_00157	-	-	-	-	-	-
contig_1	cds	178499	179137	-	BOFHPH_00158	422.0	3.7e-151	1.0	1.0	1.0	UniRef:UniRef50_A0A1C0W8J8
contig_1	cds	179134	180273	-	BOFHPH_00159	704.0	5.6e-257	0.929	0.907	0.994	UniRef:UniRef50_A0A2M9V2N4
contig_1	cds	180372	180854	-	BOFHPH_00160	209.0	2.1e-68	0.963	0.951	0.675	UniRef:UniRef50_I8XP87
contig_1	cds	180913	181452	-	BOFHPH_00161	176.0	1.5e-54	0.961	0.935	0.506	UniRef:UniRef50_I9SSI7
contig_1	cds	182533	182880	+	BOFHPH_00162	212.0	8.1e-71	0.913	0.861	0.933	UniRef:UniRef50_Q64PB2
contig_1	cds	183022	183894	+	BOFHPH_00163	478.0	4.8e-170	1.103	1.0	0.791	UniRef:UniRef50_Q64W50
contig_1	cds	184238	185074	-	BOFHPH_00164	330.0	2.9e-112	1.0	0.986	0.662	UniRef:UniRef50_K5CJB6
contig_1	cds	185351	187420	+	BOFHPH_00165	879.0	1.9e-314	1.149	1.018	0.708	UniRef:UniRef50_Q8A7C9
contig_1	cds	187633	189396	+	BOFHPH_00166	645.0	1.3e-226	0.986	0.937	0.592	UniRef:UniRef50_I9SSP1
contig_1	cds	189393	191345	+	BOFHPH_00167	657.0	8.3e-230	0.997	0.994	0.545	UniRef:UniRef50_I9RW54
contig_1	cds	191420	192742	+	BOFHPH_00168	528.0	4.9e-185	0.998	0.922	0.622	UniRef:UniRef50_A0A1D3UDP2
contig_1	cds	192904	194223	+	BOFHPH_00169	674.0	6.9e-242	0.984	0.839	0.803	UniRef:UniRef50_A0A179D4D2
contig_1	cds	194628	195713	+	BOFHPH_00170	613.0	1.8e-221	1.0	1.0	0.814	UniRef:UniRef50_I9KBF0
contig_1	cds	195733	196614	+	BOFHPH_00171	321.0	3.0e-108	0.990	0.963	0.566	UniRef:UniRef50_A0A3D0MZ22
contig_1	cds	196678	198309	+	BOFHPH_00172	741.0	3.0e-266	1.002	0.995	0.664	UniRef:UniRef50_A0A0E2AKF5
contig_1	cds	198322	199440	+	BOFHPH_00173	458.0	5.8e-159	1.148	0.977	0.555	UniRef:UniRef50_K9DW04
contig_1	tRNA	199519	199594	+	BOFHPH_00174	58.2	-	-	-	-	-
contig_1	cds	199747	200775	-	BOFHPH_00175	371.0	2.8e-126	1.047	0.989	0.517	UniRef:UniRef50_I9S3B3
contig_1	cds	200808	201479	-	BOFHPH_00176	253.0	1.2e-83	1.004	1.0	0.536	UniRef:UniRef50_Q8A1N3
contig_1	cds	201502	202389	-	BOFHPH_00177	352.0	5.0e-120	1.024	0.878	0.573	UniRef:UniRef50_K0X1Y5
contig_1	cds	202417	202992	-	BOFHPH_00178	251.0	1.3e-83	0.953	0.863	0.610	UniRef:UniRef50_A0A4R2LQ95
contig_1	cds	202976	203560	-	BOFHPH_00179	219.0	6.4e-71	0.912	0.835	0.650	UniRef:UniRef50_A0A7C6FGC4
contig_1	cds	203581	205131	-	BOFHPH_00180	1019.0	0.0	1.0	0.985	0.990	UniRef:UniRef50_A0A1C5Z314
contig_1	cds	205170	206384	-	BOFHPH_00181	407.0	1.4e-138	1.050	0.970	0.512	UniRef:UniRef50_K9DYE3
contig_1	cds	206411	209149	-	BOFHPH_00182	947.0	0.0	0.976	0.973	0.535	UniRef:UniRef50_K9EGN6
contig_1	cds	209480	209659	+	BOFHPH_00183	-	-	-	-	-	-
contig_1	cds	209574	210560	-	BOFHPH_00184	306.0	1.4e-101	0.994	1.0	0.733	UniRef:UniRef50_Q64RA6
contig_1	cds	210655	212499	-	BOFHPH_00185	876.0	4.1e-316	1.106	0.994	0.719	UniRef:UniRef50_A0A139K8D8
contig_1	cds	212648	212950	+	BOFHPH_00186	134.0	2.7e-40	1.0	0.901	0.650	UniRef:UniRef50_K9EMG3
contig_1	cds	212947	213291	+	BOFHPH_00187	195.0	5.2e-64	0.974	0.854	0.883	UniRef:UniRef50_Q8A7B3
contig_1	cds	213364	213771	-	BOFHPH_00188	229.0	5.6e-77	1.0	0.925	0.815	UniRef:UniRef50_E6SW91
contig_1	cds	213784	215655	-	BOFHPH_00189	-	-	-	-	-	-
contig_1	cds	215830	216729	-	BOFHPH_00190	491.0	2.1e-175	0.997	0.997	0.829	UniRef:UniRef50_Q64RA0
contig_1	cds	216873	217478	-	BOFHPH_00191	-	-	-	-	-	-
contig_1	cds	217506	217739	-	BOFHPH_00192	120.0	1.3e-35	1.0	0.846	0.818	UniRef:UniRef50_A0A374WD47
contig_1	cds	217901	219367	+	BOFHPH_00193	795.0	8.2e-289	0.998	0.944	0.809	UniRef:UniRef50_A0A174LN88
contig_1	cds	219432	220502	+	BOFHPH_00194	459.0	4.0e-160	0.958	0.836	0.654	UniRef:UniRef50_E5CCM8
contig_1	cds	220487	221656	-	BOFHPH_00195	588.0	4.2e-210	1.0	0.878	0.738	UniRef:UniRef50_K9E0C1
contig_1	cds	221794	222450	-	BOFHPH_00196	316.0	9.8e-109	0.940	0.936	0.746	UniRef:UniRef50_A0A1Y3R7L6
contig_1	cds	222516	224333	-	BOFHPH_00197	885.0	0.0	0.997	0.855	0.703	UniRef:UniRef50_Q64R93
contig_1	cds	224489	227551	-	BOFHPH_00198	1749.0	0.0	0.999	0.943	0.804	UniRef:UniRef50_A0A0A2DT83
contig_1	cds	227662	229980	-	BOFHPH_00199	860.0	1.0e-304	1.047	0.973	0.533	UniRef:UniRef50_A0A6N2X3G8
contig_1	cds	229998	231581	-	BOFHPH_00200	991.0	0.0	1.0	0.910	0.894	UniRef:UniRef50_G5GAF7
contig_1	cds	231990	233456	+	BOFHPH_00201	582.0	7.8e-205	1.078	1.012	0.561	UniRef:UniRef50_R5P055
contig_1	cds	233557	235206	-	BOFHPH_00202	702.0	2.4e-249	0.984	0.871	0.611	UniRef:UniRef50_A0A2M9V867
contig_1	cds	235403	238321	+	BOFHPH_00203	1744.0	0.0	0.998	0.996	0.877	UniRef:UniRef50_I9VND4
contig_1	cds	238500	239552	-	BOFHPH_00204	537.0	4.6e-191	0.986	0.844	0.759	UniRef:UniRef50_P0A991
contig_1	cds	239720	240466	-	BOFHPH_00205	404.0	1.3e-141	0.988	0.801	0.767	UniRef:UniRef50_Q8P7A1
contig_1	cds	240657	242111	-	BOFHPH_00206	777.0	1.8e-281	1.012	0.906	0.796	UniRef:UniRef50_A0A380YTP5
contig_1	cds	242213	243727	-	BOFHPH_00207	548.0	5.9e-191	0.974	0.930	0.527	UniRef:UniRef50_I8UX74
contig_1	cds	243743	245299	-	BOFHPH_00208	708.0	1.5e-253	0.923	0.885	0.661	UniRef:UniRef50_A0A174RB78
contig_1	cds	245404	247269	-	BOFHPH_00209	1244.0	0.0	1.002	1.0	0.932	UniRef:UniRef50_U6RD42
contig_1	cds	247284	250721	-	BOFHPH_00210	1769.0	0.0	0.984	0.979	0.748	UniRef:UniRef50_A0A7J0A3H1
contig_1	cds	250859	251857	-	BOFHPH_00211	328.0	5.4e-110	1.0	0.988	0.512	UniRef:UniRef50_I9KBB1
contig_1	cds	251947	252504	-	BOFHPH_00212	197.0	5.7e-63	0.886	0.845	0.659	UniRef:UniRef50_F7LU13
contig_1	cds	252684	254678	-	BOFHPH_00213	928.0	0.0	0.979	0.913	0.678	UniRef:UniRef50_A0A9D1E147
