locus_tag	ftype	length_bp	gene	EC_number	COG	product
GMFCDEOL_00047	CDS	771	yafV	3.5.1.3	COG0388	Omega-amidase YafV
GMFCDEOL_00048	gene	1167	nagA_1			
GMFCDEOL_00048	CDS	1167	nagA_1	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
GMFCDEOL_00049	gene	1992	nagB_1			
GMFCDEOL_00049	CDS	1992	nagB_1	3.5.99.6		Glucosamine-6-phosphate deaminase
GMFCDEOL_00050	gene	723	iphP			
GMFCDEOL_00050	CDS	723	iphP	3.1.3.48		Tyrosine-protein phosphatase
GMFCDEOL_00051	gene	2910				
GMFCDEOL_00051	CDS	2910				hypothetical protein
GMFCDEOL_00052	gene	402				
GMFCDEOL_00052	CDS	402				hypothetical protein
GMFCDEOL_00053	gene	126				
GMFCDEOL_00053	CDS	126				hypothetical protein
GMFCDEOL_00054	gene	321				
GMFCDEOL_00054	CDS	321				hypothetical protein
GMFCDEOL_00055	gene	216				
GMFCDEOL_00055	CDS	216				hypothetical protein
GMFCDEOL_00056	gene	345				
GMFCDEOL_00056	CDS	345				hypothetical protein
GMFCDEOL_00057	gene	477				
GMFCDEOL_00057	CDS	477				hypothetical protein
GMFCDEOL_00058	gene	1854				
GMFCDEOL_00058	CDS	1854				hypothetical protein
GMFCDEOL_00059	gene	3378	mfd			
GMFCDEOL_00059	CDS	3378	mfd	3.6.4.-		Transcription-repair-coupling factor
GMFCDEOL_00060	gene	747	ppm1			
GMFCDEOL_00060	CDS	747	ppm1	2.4.1.-	COG0463	Polyprenol monophosphomannose synthase
GMFCDEOL_00061	gene	1380	pyrC			
GMFCDEOL_00061	CDS	1380	pyrC	3.5.2.3	COG0044	Dihydroorotase
GMFCDEOL_00062	gene	957	metH_1			
GMFCDEOL_00062	CDS	957	metH_1	2.1.1.13	COG0646	Methionine synthase
GMFCDEOL_00063	gene	921				
GMFCDEOL_00063	CDS	921				hypothetical protein
GMFCDEOL_00064	gene	891				
GMFCDEOL_00064	CDS	891				hypothetical protein
GMFCDEOL_00065	gene	867				
GMFCDEOL_00065	CDS	867				hypothetical protein
GMFCDEOL_00066	gene	1137				
GMFCDEOL_00066	CDS	1137				hypothetical protein
GMFCDEOL_00067	gene	408				
GMFCDEOL_00067	CDS	408				hypothetical protein
GMFCDEOL_00068	gene	516	sigG			
GMFCDEOL_00068	CDS	516	sigG		COG1595	ECF RNA polymerase sigma factor SigG
GMFCDEOL_00069	gene	585				
GMFCDEOL_00069	CDS	585				hypothetical protein
GMFCDEOL_00070	gene	1167				
GMFCDEOL_00070	CDS	1167				hypothetical protein
GMFCDEOL_00071	gene	1725				
GMFCDEOL_00071	CDS	1725			COG1132	putative ABC transporter ATP-binding protein
GMFCDEOL_00072	gene	1767				
GMFCDEOL_00072	CDS	1767			COG1132	putative ABC transporter ATP-binding protein
GMFCDEOL_00073	gene	2964				
GMFCDEOL_00073	CDS	2964				hypothetical protein
GMFCDEOL_00074	gene	1233	sbcD_1			
GMFCDEOL_00074	CDS	1233	sbcD_1		COG0420	Nuclease SbcCD subunit D
GMFCDEOL_00075	gene	759	plsC			
GMFCDEOL_00075	CDS	759	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
GMFCDEOL_00076	gene	3204	mdtC_1			
GMFCDEOL_00076	CDS	3204	mdtC_1			Multidrug resistance protein MdtC
GMFCDEOL_00077	gene	1494				
GMFCDEOL_00077	CDS	1494				hypothetical protein
GMFCDEOL_00078	gene	3078	mdtB_1			
GMFCDEOL_00078	CDS	3078	mdtB_1			Multidrug resistance protein MdtB
GMFCDEOL_00079	gene	1071	mdtA_1			
GMFCDEOL_00079	CDS	1071	mdtA_1			Multidrug resistance protein MdtA
GMFCDEOL_00080	gene	1692				
GMFCDEOL_00080	CDS	1692				hypothetical protein
GMFCDEOL_00081	gene	891				
GMFCDEOL_00081	CDS	891				hypothetical protein
GMFCDEOL_00082	gene	1029				
GMFCDEOL_00082	CDS	1029				hypothetical protein
GMFCDEOL_00083	gene	1161				
GMFCDEOL_00083	CDS	1161				hypothetical protein
GMFCDEOL_00084	gene	555				
GMFCDEOL_00084	CDS	555				hypothetical protein
GMFCDEOL_00085	gene	1023				
GMFCDEOL_00085	CDS	1023				hypothetical protein
GMFCDEOL_00086	gene	1974				
GMFCDEOL_00086	CDS	1974				hypothetical protein
GMFCDEOL_00087	gene	876				
GMFCDEOL_00087	CDS	876				hypothetical protein
GMFCDEOL_00088	gene	381				
GMFCDEOL_00088	CDS	381				hypothetical protein
GMFCDEOL_00089	gene	1128				
GMFCDEOL_00089	CDS	1128				hypothetical protein
GMFCDEOL_00090	gene	270				
GMFCDEOL_00090	CDS	270				hypothetical protein
GMFCDEOL_00091	gene	156				
GMFCDEOL_00091	CDS	156				hypothetical protein
GMFCDEOL_00092	gene	1062				
GMFCDEOL_00092	CDS	1062				hypothetical protein
GMFCDEOL_00093	gene	210				
GMFCDEOL_00093	CDS	210				hypothetical protein
GMFCDEOL_00094	gene	1098				
GMFCDEOL_00094	CDS	1098				hypothetical protein
GMFCDEOL_00095	gene	795				
GMFCDEOL_00095	CDS	795				hypothetical protein
GMFCDEOL_00096	gene	393				
GMFCDEOL_00096	CDS	393				hypothetical protein
GMFCDEOL_00097	gene	201				
GMFCDEOL_00097	CDS	201				hypothetical protein
GMFCDEOL_00098	gene	1764				
GMFCDEOL_00098	CDS	1764				hypothetical protein
GMFCDEOL_00099	gene	729				
GMFCDEOL_00099	CDS	729				hypothetical protein
GMFCDEOL_00100	gene	1239	chuR			
GMFCDEOL_00100	CDS	1239	chuR	1.1.98.7	COG0641	Serine-type anaerobic sulfatase-maturating enzyme
GMFCDEOL_00101	gene	2166	dpp7_1			
GMFCDEOL_00101	CDS	2166	dpp7_1	3.4.14.-	COG3591	Dipeptidyl-peptidase 7
GMFCDEOL_00102	gene	2166	dpp7_2			
GMFCDEOL_00102	CDS	2166	dpp7_2	3.4.14.-	COG3591	Dipeptidyl-peptidase 7
GMFCDEOL_00103	gene	183				
GMFCDEOL_00103	CDS	183				hypothetical protein
GMFCDEOL_00104	gene	1125				
GMFCDEOL_00104	CDS	1125				hypothetical protein
GMFCDEOL_00105	gene	807				
GMFCDEOL_00105	CDS	807				hypothetical protein
GMFCDEOL_00106	gene	312				
GMFCDEOL_00106	CDS	312				Thioredoxin C-2
GMFCDEOL_00107	gene	468				
GMFCDEOL_00107	CDS	468				hypothetical protein
GMFCDEOL_00108	gene	636				
GMFCDEOL_00108	CDS	636				hypothetical protein
GMFCDEOL_00109	gene	558	rbr3A			
GMFCDEOL_00109	CDS	558	rbr3A	1.11.1.1	COG1592	Reverse rubrerythrin-1
GMFCDEOL_00110	gene	420	perR			
GMFCDEOL_00110	CDS	420	perR		COG0735	Peroxide-responsive repressor PerR
GMFCDEOL_00111	gene	348	yhaI			
GMFCDEOL_00111	CDS	348	yhaI		COG3152	Inner membrane protein YhaI
GMFCDEOL_00112	gene	2112	dcp			
GMFCDEOL_00112	CDS	2112	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
GMFCDEOL_00113	gene	1926	nadE			
GMFCDEOL_00113	CDS	1926	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
GMFCDEOL_00114	gene	537				
GMFCDEOL_00114	CDS	537				hypothetical protein
GMFCDEOL_00115	gene	3159	susC_2			
GMFCDEOL_00115	CDS	3159	susC_2		COG1629	TonB-dependent receptor SusC
GMFCDEOL_00116	gene	1473				
GMFCDEOL_00116	CDS	1473				hypothetical protein
GMFCDEOL_00117	gene	1005				
GMFCDEOL_00117	CDS	1005				hypothetical protein
GMFCDEOL_00118	gene	1125	hisB			
GMFCDEOL_00118	CDS	1125	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
GMFCDEOL_00119	gene	1038	hisC			
GMFCDEOL_00119	CDS	1038	hisC	2.6.1.9		Histidinol-phosphate aminotransferase
GMFCDEOL_00120	gene	1287	hisD			
GMFCDEOL_00120	CDS	1287	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
GMFCDEOL_00121	gene	852	hisG			
GMFCDEOL_00121	CDS	852	hisG	2.4.2.17		ATP phosphoribosyltransferase
GMFCDEOL_00122	gene	492				
GMFCDEOL_00122	CDS	492				hypothetical protein
GMFCDEOL_00123	gene	708	yhhW_1			
GMFCDEOL_00123	CDS	708	yhhW_1	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
GMFCDEOL_00124	gene	2010	dsbD			
GMFCDEOL_00124	CDS	2010	dsbD	1.8.1.8		Thiol:disulfide interchange protein DsbD
GMFCDEOL_00125	gene	300				
GMFCDEOL_00125	CDS	300				hypothetical protein
GMFCDEOL_00126	gene	609	udk_1			
GMFCDEOL_00126	CDS	609	udk_1	2.7.1.48	COG0572	Uridine kinase
GMFCDEOL_00127	gene	1392	mltF_1			
GMFCDEOL_00127	CDS	1392	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
GMFCDEOL_00128	gene	1554	opuE			
GMFCDEOL_00128	CDS	1554	opuE		COG0591	Osmoregulated proline transporter OpuE
GMFCDEOL_00129	gene	126				
GMFCDEOL_00129	CDS	126				hypothetical protein
GMFCDEOL_00130	gene	606	nfrA1			
GMFCDEOL_00130	CDS	606	nfrA1	1.5.1.38	COG0778	FMN reductase (NADPH)
GMFCDEOL_00131	gene	2751	metH_2			
GMFCDEOL_00131	CDS	2751	metH_2	2.1.1.13	COG0646	Methionine synthase
GMFCDEOL_00132	gene	453	smpB			
GMFCDEOL_00132	CDS	453	smpB		COG0691	SsrA-binding protein
GMFCDEOL_00133	gene	573				
GMFCDEOL_00133	CDS	573				hypothetical protein
GMFCDEOL_00134	gene	804				
GMFCDEOL_00134	CDS	804				hypothetical protein
GMFCDEOL_00135	gene	501				
GMFCDEOL_00135	CDS	501				hypothetical protein
GMFCDEOL_00136	gene	405				
GMFCDEOL_00136	CDS	405				hypothetical protein
GMFCDEOL_00137	gene	702				
GMFCDEOL_00137	CDS	702				hypothetical protein
GMFCDEOL_00138	gene	1011				
GMFCDEOL_00138	CDS	1011				hypothetical protein
GMFCDEOL_00139	gene	1002	fabH_1			
GMFCDEOL_00139	CDS	1002	fabH_1	2.3.1.180	COG0332	Beta-ketoacyl-[acyl-carrier-protein] synthase III
GMFCDEOL_00140	gene	1446				
GMFCDEOL_00140	CDS	1446		3.2.1.1		Alpha-amylase
GMFCDEOL_00141	gene	945				
GMFCDEOL_00141	CDS	945				hypothetical protein
GMFCDEOL_00142	gene	321				
GMFCDEOL_00142	CDS	321				hypothetical protein
GMFCDEOL_00143	gene	951	wecA_1			
GMFCDEOL_00143	CDS	951	wecA_1	2.7.8.33		Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
GMFCDEOL_00144	gene	963	hldD_1			
GMFCDEOL_00144	CDS	963	hldD_1	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
GMFCDEOL_00145	gene	765				
GMFCDEOL_00145	CDS	765				hypothetical protein
GMFCDEOL_00146	gene	1206	mshA_1			
GMFCDEOL_00146	CDS	1206	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GMFCDEOL_00147	gene	996				
GMFCDEOL_00147	CDS	996				hypothetical protein
GMFCDEOL_00148	gene	1545				
GMFCDEOL_00148	CDS	1545				hypothetical protein
GMFCDEOL_00149	gene	753				
GMFCDEOL_00149	CDS	753				hypothetical protein
GMFCDEOL_00150	gene	1029	gtfA_1			
GMFCDEOL_00150	CDS	1029	gtfA_1	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
GMFCDEOL_00151	gene	1104				
GMFCDEOL_00151	CDS	1104				hypothetical protein
GMFCDEOL_00152	gene	1311				
GMFCDEOL_00152	CDS	1311				hypothetical protein
GMFCDEOL_00153	gene	996				
GMFCDEOL_00153	CDS	996				hypothetical protein
GMFCDEOL_00154	gene	429	tagD			
GMFCDEOL_00154	CDS	429	tagD	2.7.7.39	COG0615	Glycerol-3-phosphate cytidylyltransferase
GMFCDEOL_00155	gene	1194	tagF			
GMFCDEOL_00155	CDS	1194	tagF	2.7.8.12	COG0463	Teichoic acid poly(glycerol phosphate) polymerase
GMFCDEOL_00156	gene	933	glyG			
GMFCDEOL_00156	CDS	933	glyG		COG1215	Glycosyltransferase GlyG
GMFCDEOL_00157	gene	639				
GMFCDEOL_00157	CDS	639		3.5.1.104		Peptidoglycan-N-acetylglucosamine deacetylase
GMFCDEOL_00158	gene	1140				
GMFCDEOL_00158	CDS	1140				hypothetical protein
GMFCDEOL_00159	gene	483				
GMFCDEOL_00159	CDS	483				hypothetical protein
GMFCDEOL_00160	gene	540	rfaH_1			
GMFCDEOL_00160	CDS	540	rfaH_1			Transcription antitermination protein RfaH
GMFCDEOL_00161	gene	348				
GMFCDEOL_00161	CDS	348				hypothetical protein
GMFCDEOL_00162	gene	873				
GMFCDEOL_00162	CDS	873				hypothetical protein
GMFCDEOL_00163	gene	837	rsxB_1			
GMFCDEOL_00163	CDS	837	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
GMFCDEOL_00164	gene	2070	rho			
GMFCDEOL_00164	CDS	2070	rho	3.6.4.-		Transcription termination factor Rho
GMFCDEOL_00165	gene	1764	rcsC_1			
GMFCDEOL_00165	CDS	1764	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
GMFCDEOL_00166	gene	1953	rcsC_2			
GMFCDEOL_00166	CDS	1953	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
GMFCDEOL_00167	gene	1323	mdtK_1			
GMFCDEOL_00167	CDS	1323	mdtK_1			Multidrug resistance protein MdtK
GMFCDEOL_00168	gene	1320	ffh			
GMFCDEOL_00168	CDS	1320	ffh	3.6.5.4	COG0541	Signal recognition particle protein
GMFCDEOL_00169	gene	1086	resA_1			
GMFCDEOL_00169	CDS	1086	resA_1			Thiol-disulfide oxidoreductase ResA
GMFCDEOL_00170	gene	882	folD			
GMFCDEOL_00170	CDS	882	folD		COG0190	Bifunctional protein FolD protein
GMFCDEOL_00171	gene	1632	resA_2			
GMFCDEOL_00171	CDS	1632	resA_2			Thiol-disulfide oxidoreductase ResA
GMFCDEOL_00172	gene	1119				
GMFCDEOL_00172	CDS	1119				hypothetical protein
GMFCDEOL_00173	gene	75				
GMFCDEOL_00173	tRNA	75				tRNA-His(gtg)
GMFCDEOL_00174	gene	1029				
GMFCDEOL_00174	CDS	1029				hypothetical protein
GMFCDEOL_00175	gene	672				
GMFCDEOL_00175	CDS	672				hypothetical protein
GMFCDEOL_00176	gene	888	rbbA_1			
GMFCDEOL_00176	CDS	888	rbbA_1		COG0842	Ribosome-associated ATPase
GMFCDEOL_00177	gene	576				
GMFCDEOL_00177	CDS	576				hypothetical protein
GMFCDEOL_00178	gene	585				
GMFCDEOL_00178	CDS	585				hypothetical protein
GMFCDEOL_00179	gene	1551				
GMFCDEOL_00179	CDS	1551				hypothetical protein
GMFCDEOL_00180	gene	1215				
GMFCDEOL_00180	CDS	1215				hypothetical protein
GMFCDEOL_00181	gene	2739				
GMFCDEOL_00181	CDS	2739				hypothetical protein
GMFCDEOL_00182	gene	180				
GMFCDEOL_00182	CDS	180				hypothetical protein
GMFCDEOL_00183	gene	987				
GMFCDEOL_00183	CDS	987				hypothetical protein
GMFCDEOL_00184	gene	1845	ruvB_1			
GMFCDEOL_00184	CDS	1845	ruvB_1	3.6.4.-		Holliday junction branch migration complex subunit RuvB
GMFCDEOL_00185	gene	303				
GMFCDEOL_00185	CDS	303				hypothetical protein
GMFCDEOL_00186	gene	345				
GMFCDEOL_00186	CDS	345				hypothetical protein
GMFCDEOL_00187	gene	408				
GMFCDEOL_00187	CDS	408				hypothetical protein
GMFCDEOL_00188	gene	1872				
GMFCDEOL_00188	CDS	1872				hypothetical protein
GMFCDEOL_00189	gene	900				
GMFCDEOL_00189	CDS	900				hypothetical protein
GMFCDEOL_00190	gene	606				
GMFCDEOL_00190	CDS	606				hypothetical protein
GMFCDEOL_00191	gene	234				
GMFCDEOL_00191	CDS	234				hypothetical protein
GMFCDEOL_00192	gene	1467	pepD_1			
GMFCDEOL_00192	CDS	1467	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
GMFCDEOL_00193	gene	1071				
GMFCDEOL_00193	CDS	1071				hypothetical protein
GMFCDEOL_00194	gene	1170	ybdG_1			
GMFCDEOL_00194	CDS	1170	ybdG_1		COG0668	Mechanosensing system component YbdG
GMFCDEOL_00195	gene	657	tal			
GMFCDEOL_00195	CDS	657	tal	2.2.1.2	COG0176	Transaldolase
GMFCDEOL_00196	gene	1818				
GMFCDEOL_00196	CDS	1818				hypothetical protein
GMFCDEOL_00197	gene	3063	lacZ_1			
GMFCDEOL_00197	CDS	3063	lacZ_1	3.2.1.23	COG3250	Beta-galactosidase
GMFCDEOL_00198	gene	2319				
GMFCDEOL_00198	CDS	2319				hypothetical protein
GMFCDEOL_00199	gene	1584				
GMFCDEOL_00199	CDS	1584		3.1.6.-	COG3119	N-acetylglucosamine-6-O-sulfatase
GMFCDEOL_00200	gene	1467				
GMFCDEOL_00200	CDS	1467		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
GMFCDEOL_00201	gene	1650				
GMFCDEOL_00201	CDS	1650		3.2.1.52	COG3525	Beta-hexosaminidase
GMFCDEOL_00202	gene	2919	rhaR_1			
GMFCDEOL_00202	CDS	2919	rhaR_1			HTH-type transcriptional activator RhaR
GMFCDEOL_00203	gene	1053	fbaB_1			
GMFCDEOL_00203	CDS	1053	fbaB_1	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
GMFCDEOL_00204	gene	747	gpmA_1			
GMFCDEOL_00204	CDS	747	gpmA_1	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
GMFCDEOL_00205	gene	1455	modF			
GMFCDEOL_00205	CDS	1455	modF		COG1119	ABC transporter ATP-binding protein ModF
GMFCDEOL_00206	gene	1515				
GMFCDEOL_00206	CDS	1515		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
GMFCDEOL_00207	gene	1557				
GMFCDEOL_00207	CDS	1557		3.2.1.52	COG3525	Beta-hexosaminidase
GMFCDEOL_00208	gene	1866				
GMFCDEOL_00208	CDS	1866				hypothetical protein
GMFCDEOL_00209	gene	3438				
GMFCDEOL_00209	CDS	3438			COG4771	TonB-dependent receptor P3
GMFCDEOL_00210	gene	999				
GMFCDEOL_00210	CDS	999				hypothetical protein
GMFCDEOL_00211	gene	558				
GMFCDEOL_00211	CDS	558				hypothetical protein
GMFCDEOL_00212	gene	1995	pulA			
GMFCDEOL_00212	CDS	1995	pulA	3.2.1.41	COG1523	Pullulanase
GMFCDEOL_00213	gene	567	ruvC			
GMFCDEOL_00213	CDS	567	ruvC	3.1.21.10		Crossover junction endodeoxyribonuclease RuvC
GMFCDEOL_00214	gene	303				
GMFCDEOL_00214	CDS	303				hypothetical protein
GMFCDEOL_00215	gene	75				
GMFCDEOL_00215	tRNA	75				tRNA-Ala(ggc)
GMFCDEOL_00216	gene	1179				
GMFCDEOL_00216	CDS	1179				hypothetical protein
GMFCDEOL_00217	gene	1020	pheS			
GMFCDEOL_00217	CDS	1020	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
GMFCDEOL_00218	gene	1194	yhhS			
GMFCDEOL_00218	CDS	1194	yhhS			putative MFS-type transporter YhhS
GMFCDEOL_00219	gene	678	nth			
GMFCDEOL_00219	CDS	678	nth	4.2.99.18	COG0177	Endonuclease III
GMFCDEOL_00220	gene	1260	pgk			
GMFCDEOL_00220	CDS	1260	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
GMFCDEOL_00221	gene	1020				
GMFCDEOL_00221	CDS	1020				hypothetical protein
GMFCDEOL_00222	gene	1035				
GMFCDEOL_00222	CDS	1035				hypothetical protein
GMFCDEOL_00223	gene	1191				
GMFCDEOL_00223	CDS	1191				hypothetical protein
GMFCDEOL_00224	gene	2199				
GMFCDEOL_00224	CDS	2199				hypothetical protein
GMFCDEOL_00225	gene	510				
GMFCDEOL_00225	CDS	510				hypothetical protein
GMFCDEOL_00226	gene	837				
GMFCDEOL_00226	CDS	837		3.2.1.103		Keratan-sulfate endo-1,4-beta-galactosidase
GMFCDEOL_00227	gene	918				
GMFCDEOL_00227	CDS	918				hypothetical protein
GMFCDEOL_00228	gene	1524	zmaJ_1			
GMFCDEOL_00228	CDS	1524	zmaJ_1	6.2.1.72		Zwittermicin A synthase ZmaJ
GMFCDEOL_00229	gene	243				
GMFCDEOL_00229	CDS	243				hypothetical protein
GMFCDEOL_00230	gene	1383				
GMFCDEOL_00230	CDS	1383				hypothetical protein
GMFCDEOL_00231	gene	1071				
GMFCDEOL_00231	CDS	1071				hypothetical protein
GMFCDEOL_00232	gene	393				
GMFCDEOL_00232	CDS	393				hypothetical protein
GMFCDEOL_00233	gene	582	maf			
GMFCDEOL_00233	CDS	582	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
GMFCDEOL_00234	gene	522	kdsC			
GMFCDEOL_00234	CDS	522	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
GMFCDEOL_00235	gene	792				
GMFCDEOL_00235	CDS	792				hypothetical protein
GMFCDEOL_00236	gene	333				
GMFCDEOL_00236	CDS	333				hypothetical protein
GMFCDEOL_00237	gene	537				
GMFCDEOL_00237	CDS	537				hypothetical protein
GMFCDEOL_00238	gene	543	csh			
GMFCDEOL_00238	CDS	543	csh	3.13.1.5		Carbon disulfide hydrolase
GMFCDEOL_00239	gene	984				
GMFCDEOL_00239	CDS	984				hypothetical protein
GMFCDEOL_00240	gene	405	epi			
GMFCDEOL_00240	CDS	405	epi	5.1.99.-	COG0346	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
GMFCDEOL_00241	gene	1554	pccB_1			
GMFCDEOL_00241	CDS	1554	pccB_1	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
GMFCDEOL_00242	gene	915				
GMFCDEOL_00242	CDS	915				hypothetical protein
GMFCDEOL_00243	gene	432				
GMFCDEOL_00243	CDS	432				hypothetical protein
GMFCDEOL_00244	gene	1161	mmdB_1			
GMFCDEOL_00244	CDS	1161	mmdB_1	7.2.4.3		Methylmalonyl-CoA decarboxylase subunit beta
GMFCDEOL_00245	gene	1335				
GMFCDEOL_00245	CDS	1335				hypothetical protein
GMFCDEOL_00246	gene	1299				
GMFCDEOL_00246	CDS	1299				hypothetical protein
GMFCDEOL_00247	gene	1851	susA			
GMFCDEOL_00247	CDS	1851	susA	3.2.1.135	COG0366	Neopullulanase SusA
GMFCDEOL_00248	gene	441				
GMFCDEOL_00248	CDS	441				hypothetical protein
GMFCDEOL_00249	gene	1068	emrA_1			
GMFCDEOL_00249	CDS	1068	emrA_1			Colistin resistance protein EmrA
GMFCDEOL_00250	gene	1596				
