# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb12 (Creation date: 2025-05-14, number of genomes: 3130, number of BUSCOs: 116)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
9804647at2	Complete	NODE_6_length_338063_cov_36.607788	62789	61515	-	459.9	382
9804716at2	Complete	NODE_6_length_338063_cov_36.607788	224818	223529	-	564.9	367
9804753at2	Complete	NODE_30_length_44885_cov_33.825232	33260	34264	+	182.3	235
9804933at2	Complete	NODE_5_length_339081_cov_37.984555	234833	236695	+	652.6	579
9805007at2	Complete	NODE_11_length_153230_cov_39.213473	79145	78576	-	231.6	176
9805026at2	Complete	NODE_5_length_339081_cov_37.984555	163371	164243	+	197.6	214
9805455at2	Complete	NODE_29_length_48373_cov_35.284868	44663	47125	+	24.7	26
9805462at2	Complete	NODE_1_length_523019_cov_35.337313	154706	154254	-	189.1	142
9805609at2	Complete	NODE_3_length_402718_cov_33.543387	326584	326324	-	93.7	69
9805706at2	Complete	NODE_11_length_153230_cov_39.213473	72960	71968	-	335.3	267
9805969at2	Complete	NODE_11_length_153230_cov_39.213473	83260	82850	-	119.6	101
9806014at2	Complete	NODE_4_length_379350_cov_35.042700	21950	21297	-	232.3	170
9806135at2	Complete	NODE_11_length_153230_cov_39.213473	85966	85349	-	295.1	200
9806197at2	Complete	NODE_3_length_402718_cov_33.543387	329026	328007	-	349.4	283
9806379at2	Complete	NODE_11_length_153230_cov_39.213473	81180	80815	-	139.2	106
9806396at2	Complete	NODE_11_length_153230_cov_39.213473	82844	82110	-	252.9	187
9806415at2	Complete	NODE_11_length_153230_cov_39.213473	74086	73697	-	186.7	119
9806626at2	Complete	NODE_11_length_153230_cov_39.213473	80474	79917	-	272.7	175
9806637at2	Complete	NODE_5_length_339081_cov_37.984555	67869	68783	+	247.9	241
9806651at2	Complete	NODE_10_length_157613_cov_33.680873	16793	18826	+	892.1	589
9806661at2	Complete	NODE_34_length_34313_cov_39.172538	4034	3582	-	186.9	148
9806954at2	Complete	NODE_30_length_44885_cov_33.825232	40586	42271	+	585.0	536
9807019at2	Complete	NODE_8_length_282777_cov_37.165398	141413	139986	-	501.6	421
9807064at2	Complete	NODE_23_length_70738_cov_38.126081	23941	24696	+	121.7	197
9807233at2	Complete	NODE_5_length_339081_cov_37.984555	120574	119312	-	331.7	312
9807240at2	Complete	NODE_5_length_339081_cov_37.984555	252010	253284	+	568.8	412
9807416at2	Complete	NODE_3_length_402718_cov_33.543387	296164	295487	-	236.9	195
9807419at2	Complete	NODE_11_length_153230_cov_39.213473	80794	80474	-	69.2	70
9807458at2	Complete	NODE_23_length_70738_cov_38.126081	28329	29039	+	332.5	230
9807553at2	Complete	NODE_1_length_523019_cov_35.337313	492383	491112	-	597.4	424
9807653at2	Complete	NODE_11_length_153230_cov_39.213473	89021	88545	-	211.2	145
9807878at2	Complete	NODE_10_length_157613_cov_33.680873	135261	135806	+	99.2	71
9808036at2	Complete	NODE_26_length_56437_cov_36.985611	47785	46949	-	284.5	199
9808150at2	Complete	NODE_25_length_59335_cov_37.855614	25820	25206	-	224.8	179
9808348at2	Complete	NODE_26_length_56437_cov_36.985611	46826	45834	-	148.3	146
9808773at2	Fragmented	NODE_2_length_424706_cov_34.285840	373737	373063	-	127.2	118
9808936at2	Complete	NODE_5_length_339081_cov_37.984555	76939	78081	+	379.8	350
9808966at2	Complete	NODE_4_length_379350_cov_35.042700	20933	20583	-	164.9	110
9809045at2	Complete	NODE_11_length_153230_cov_39.213473	78204	77686	-	228.9	160
9809052at2	Complete	NODE_3_length_402718_cov_33.543387	335734	334241	-	304.3	287
9809073at2	Complete	NODE_11_length_153230_cov_39.213473	71964	71479	-	153.8	119
9809075at2	Complete	NODE_11_length_153230_cov_39.213473	104142	103600	-	144.8	149
9809084at2	Complete	NODE_46_length_10522_cov_39.084442	7750	7076	-	272.8	210
9809248at2	Complete	NODE_11_length_153230_cov_39.213473	77017	75671	-	546.1	419
9809356at2	Complete	NODE_13_length_112248_cov_33.996069	2039	663	-	437.2	382
9809796at2	Complete	NODE_5_length_339081_cov_37.984555	74249	75583	+	454.8	403
9810191at2	Complete	NODE_22_length_72694_cov_38.560489	57864	59903	+	763.0	631
9810293at2	Complete	NODE_11_length_153230_cov_39.213473	77468	77022	-	78.9	110
9810939at2	Complete	NODE_11_length_153230_cov_39.213473	78554	78210	-	158.2	116
9811714at2	Complete	NODE_11_length_153230_cov_39.213473	81440	81183	-	133.7	74
9811748at2	Complete	NODE_11_length_153230_cov_39.213473	101805	101431	-	79.7	92
9811804at2	Complete	NODE_5_length_339081_cov_37.984555	119191	116141	-	937.7	642
9812008at2	Complete	NODE_8_length_282777_cov_37.165398	122927	123199	+	96.4	48
9812272at2	Complete	NODE_23_length_70738_cov_38.126081	66253	65000	-	471.2	363
9812273at2	Complete	NODE_8_length_282777_cov_37.165398	160909	159914	-	238.5	282
9812702at2	Complete	NODE_8_length_282777_cov_37.165398	122580	122924	+	80.7	86
9812769at2	Complete	NODE_14_length_106925_cov_32.864293	9076	9948	+	299.4	280
9812943at2	Complete	NODE_6_length_338063_cov_36.607788	236583	237200	+	116.1	171
9813334at2	Complete	NODE_6_length_338063_cov_36.607788	63556	63239	-	115.5	101
9813375at2	Complete	NODE_5_length_339081_cov_37.984555	81778	83088	+	347.5	288
9814755at2	Complete	NODE_7_length_286996_cov_37.800226	82972	82130	-	175.0	198
9815296at2	Complete	NODE_11_length_153230_cov_39.213473	97367	93084	-	1309.9	854
